label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
Speaker0026,-385.16727,71.94578,7.4164786,22.169682,2.379256,9.548487,-16.423449,-10.82186,-17.44638,-1.8559327,-17.694895,-0.16267975,-6.804637
Speaker0026,-359.46808,81.22588,6.1678877,23.608013,5.011143,10.047378,-18.29452,-11.938034,-17.737564,-4.367526,-17.874653,-1.0803891,-6.8498993
Speaker0026,-375.84415,70.30867,7.219227,24.220108,6.3132186,8.402315,-15.429455,-13.791598,-16.014484,-3.9611223,-17.365173,-0.9104001,-6.095363
Speaker0026,-371.41577,80.81633,4.0788083,24.817572,5.7332516,9.490035,-17.37963,-11.705592,-15.359835,-2.441326,-18.184996,-1.2330084,-7.382297
Speaker0026,-374.23132,80.68282,7.6180835,24.336998,5.5902085,7.860325,-15.426756,-11.612129,-16.189367,-4.7744303,-17.243368,-1.0025897,-7.2146354
Speaker0026,-387.59006,78.85885,8.809152,21.301052,4.040364,7.739544,-13.830858,-11.670698,-17.819138,-3.1644793,-16.508535,-1.9559349,-4.203511
Speaker0026,-379.06558,79.66907,5.821339,26.232714,7.227514,7.6102138,-14.225657,-11.431776,-16.43696,-5.2324414,-17.905256,-1.8341215,-6.507311
Speaker0026,-370.82678,69.36273,8.230525,24.347391,7.033857,7.554036,-17.352844,-11.056716,-17.816301,-4.5900726,-18.674046,-1.461414,-4.9384413
Speaker0026,-379.5081,80.15949,10.824547,18.698433,5.9474053,11.887367,-17.477287,-12.211382,-20.391272,-3.5507162,-17.618841,-1.8535718,-3.8048575
Speaker0026,-379.31094,71.37763,4.079703,20.76691,9.487628,9.890603,-16.959366,-11.01664,-16.91355,-3.884255,-19.138426,-2.189066,-3.9595058
Speaker0026,-385.69943,76.994644,3.2934947,20.931364,9.070155,12.515462,-17.237926,-11.084086,-18.43567,-1.8932991,-19.635386,-1.18275,-5.0827346
